player_id,player_display_name,week,season_type,team,opponent_team,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_fumbles_forced,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_fumbles,def_safeties
00-0038398,Karl Brooks,9,REG,GB,CAR,0,0,5,0,0,0,0,0,0,0,0,0
00-0038399,Zaire Barnes,9,REG,NYG,SF,2,0,1,0,0,0,0,0,0,0,0,0
00-0038401,Jarrick Bernard-Converse,9,REG,NYG,SF,0,0,3,0,0,0,0,0,0,0,0,0
00-0038407,Jaylon Jones,9,REG,IND,PIT,2,0,2,1,0,0,0,0,1,0,0,0
00-0038408,Carrington Valentine,9,REG,GB,CAR,3,0,1,0,0,0,0,0,0,0,0,0
00-0038493,Claudin Cherelus,9,REG,CAR,GB,0,0,1,0,0,0,0,0,0,0,0,0
00-0038541,Tyree Wilson,9,REG,LV,JAX,2,0,0,0,0,0,0,0,0,0,0,0
00-0038546,Myles Murphy,9,REG,CIN,CHI,2,0,4,0,0,0,0,0,1,0,0,0
00-0038549,DJ Turner II,9,REG,CIN,CHI,2,0,2,0,0,0,0,0,1,0,0,0
00-0038552,Riley Moss,9,REG,DEN,HOU,5,0,0,0,0,0,0,0,1,0,0,0
00-0038553,Daiyan Henley,9,REG,LAC,TEN,4,0,5,1,0,1,1,0,1,0,0,0
00-0038554,Ji'Ayir Brown,9,REG,SF,NYG,3,0,1,0,0,0,0,0,1,0,0,0
00-0038557,Dorian Williams,9,REG,BUF,KC,1,0,0,0,0,0,1,0,0,0,0,0
00-0038560,Jordan Battle,9,REG,CIN,CHI,5,0,7,0,0,0,0,0,0,0,0,0
00-0038565,Mekhi Blackmon,9,REG,IND,PIT,4,0,1,0,0,0,0,0,0,0,0,0
00-0038570,Ventrell Miller,9,REG,JAX,LV,2,0,5,0,0,0,0,0,0,0,0,0
00-0038577,Nick Herbig,9,REG,PIT,IND,0,1,0,0,0,0,0,0,0,0,0,0
00-0038578,Jay Ward,9,REG,MIN,DET,0,0,1,0,0,0,0,0,0,0,0,0
00-0038580,Yasir Abdullah,9,REG,JAX,LV,1,0,0,0,0,0,0,0,0,0,0,0
00-0038585,Cameron Mitchell,9,REG,IND,PIT,1,0,1,0,0,0,0,0,0,0,0,0
00-0038588,Jordan Howden,9,REG,NO,LA,0,0,1,0,0,0,0,0,0,0,0,0
00-0038591,Mike Morris,9,REG,SEA,WAS,1,0,2,0,0,0,0,0,0,0,0,0
00-0038594,Darrell Luter Jr.,9,REG,SF,NYG,0,0,1,0,0,0,0,0,0,0,0,0
00-0038596,Antonio Johnson,9,REG,JAX,LV,3,0,4,0,0,0,0,0,0,0,0,0
00-0038599,Henry To'oTo'o,9,REG,HOU,DEN,2,0,5,1,0,0,0,0,0,0,0,0
00-0038600,Owen Pappoe,9,REG,ARI,DAL,0,0,1,0,0,0,0,0,0,0,0,0
00-0038603,Robert Beal Jr.,9,REG,SF,NYG,0,0,1,0,0,0,0,0,0,0,0,0
00-0038605,JL Skinner,9,REG,DEN,HOU,1,0,0,0,0,0,0,0,0,0,0,0
00-0038613,Jerrick Reed II,9,REG,SEA,WAS,0,0,2,0,0,0,0,0,0,0,0,0
00-0038614,Scott Matlock,9,REG,LAC,TEN,0,0,0,0,0,0,0,0,0,0,0,0
00-0038623,Dante Stills,9,REG,ARI,DAL,1,0,0,0,0,0,0,0,0,0,0,0
00-0038625,Dee Winters,9,REG,SF,NYG,2,0,3,0,0,0,0,0,0,0,0,0
00-0038642,D.J. Ivey,9,REG,CIN,CHI,0,0,1,0,0,0,0,0,0,0,0,0
00-0038684,Ethan Bonner,9,REG,MIA,BAL,1,0,0,0,0,0,0,0,0,0,0,0
00-0038694,Brandon Pili,9,REG,SEA,WAS,1,0,1,0,1,0,0,0,0,0,0,0
00-0038742,Tyrus Wheat,9,REG,DET,MIN,0,0,1,0,0,0,0,0,0,0,0,0
00-0038765,Ty Okada,9,REG,SEA,WAS,2,0,3,0,0,0,0,1,1,0,0,0
00-0038778,Jalen Redmond,9,REG,MIN,DET,1,0,2,1,0,1,1,0,0,0,0,0
00-0038791,Thomas Incoom,9,REG,CAR,GB,1,0,0,0,0,0,0,0,0,0,0,0
